#"+ Scan (rt: 4.977-39.999 min, 11478 scans) AMBER_140726_3.D "
#Point,X(Thompsons),Y(Counts)
0,45.2,852.326538085938
1,45.3,34.3991966247559
2,45.4,2.54269027709961
3,45.6,0.550182938575745
4,45.8,6.63843870162964
5,46.0,43.8454437255859
6,46.1,61.5933074951172
7,46.3,12.0833768844604
8,46.4,5.78062391281128
9,46.6,1.31721556186676
10,46.8,6.98998069763184
11,47.0,48.7905540466309
12,47.1,70.2589263916016
13,47.3,10.6205787658691
14,47.4,3.48954510688782
15,47.7,2.68862175941467
16,47.9,16.420108795166
17,48.1,35.1668395996094
18,48.2,19.6921062469482
19,48.4,3.26746821403503
20,48.6,1.06569087505341
21,48.8,5.04966020584106
22,49.0,31.1627464294434
23,49.2,57.7438583374023
24,49.3,17.4903297424316
25,49.5,1.06211888790131
26,49.8,1.6513329744339
27,50.0,49.3043212890625
28,50.2,1527.69641113281
29,50.3,62.9789161682129
30,50.5,0.623976290225983
31,50.8,0.383080661296844
32,51.0,29.10986328125
33,51.2,4352.5185546875
34,51.3,41.6199684143066
35,51.5,0.198379501700401
36,51.7,0.262850672006607
37,51.9,5.49756050109863
38,52.1,295.255432128906
39,52.2,1449.0009765625
40,52.4,5.98187828063965
41,52.6,0.0635999292135239
42,52.8,0.167712152004242
43,53.0,10.8518905639648
44,53.2,4995.41259765625
45,53.3,76.5149002075195
46,53.5,0.0730092376470566
47,53.8,0.15072312951088
48,54.0,23.9383163452148
49,54.2,786.660827636719
50,54.3,249.692977905273
51,54.5,0.0925248265266418
52,55.2,9882.5966796875
53,55.3,180.278625488281
54,56.0,11.8236627578735
55,56.2,2521.39306640625
56,56.3,194.549926757813
57,56.5,0.249346569180489
58,57.1,193.76432800293
59,57.2,2386.24487304688
60,57.4,78.1540374755859
61,57.6,133.605590820313
62,57.7,205.186874389648
63,58.0,183.8173828125
64,58.2,442.929779052734
65,58.3,74.4979095458984
66,58.5,8.26215362548828
67,58.8,10.7607593536377
68,59.0,95.559944152832
69,59.2,530.028991699219
70,59.3,47.9926834106445
71,59.4,8.71859169006348
72,59.6,1.42664229869843
73,59.8,6.3403902053833
74,60.0,101.030143737793
75,60.1,328.724090576172
76,60.3,36.007755279541
77,60.5,1.03615617752075
78,60.7,1.77356684207916
79,60.9,20.9314346313477
80,61.1,253.963241577148
81,61.2,190.446502685547
82,61.4,4.81355619430542
83,61.5,1.25004351139069
84,61.8,3.67590165138245
85,62.0,58.4037284851074
86,62.2,867.676574707031
87,62.3,55.3573799133301
88,62.5,0.829587042331696
89,62.8,1.43692278862
90,63.0,46.2765274047852
91,63.2,3268.96215820313
92,63.3,38.4823150634766
93,63.6,1.04565250873566
94,63.8,5.03789854049683
95,64.0,83.0465240478516
96,64.2,1503.83081054688
97,64.3,227.517944335938
98,64.5,2.82488226890564
99,64.8,0.38708832859993
100,65.0,23.7657260894775
101,65.2,5835.25341796875
102,65.3,35.0514030456543
103,65.6,0.461840033531189
104,65.8,1.25797176361084
105,66.0,43.7917747497559
106,66.2,1286.34338378906
107,66.3,233.606552124023
108,66.5,0.261282444000244
109,67.0,1.19811809062958
110,67.2,9062.7890625
111,67.3,54.1223220825195
112,67.8,0.169890224933624
113,68.0,18.1800842285156
114,68.2,2153.99096679688
115,68.3,255.806930541992
116,68.5,0.217982232570648
117,69.0,1.00923502445221
118,69.2,5633.81884765625
119,69.3,410.987701416016
120,69.6,12.3319396972656
121,69.7,0.509322166442871
122,69.9,22.9194984436035
123,70.1,367.745849609375
124,70.2,821.942687988281
125,70.4,94.3037109375
126,70.7,186.360168457031
127,70.9,72.7120590209961
128,71.1,742.013916015625
129,71.2,1211.01135253906
130,71.4,3.27147579193115
131,71.6,0.202474296092987
132,71.8,5.94607067108154
133,72.0,109.160919189453
134,72.2,309.834106445313
135,72.3,51.3882217407227
136,72.5,4.01655340194702
137,72.8,4.71458435058594
138,73.0,69.1630096435547
139,73.2,3070.41479492188
140,73.3,41.3499755859375
141,73.6,0.657257378101349
142,73.9,5.99390125274658
143,74.1,745.4853515625
144,74.2,643.327331542969
145,74.4,2.76023697853088
146,74.6,0.282889008522034
147,74.9,3.5706570148468
148,75.1,770.679138183594
149,75.2,913.388366699219
150,75.4,5.3441367149353
151,75.6,0.202387169003487
152,75.8,3.12606716156006
153,75.9,10.6707611083984
154,76.1,467.327758789063
155,76.2,1693.3779296875
156,76.4,10.1420974731445
157,77.0,10.3248825073242
158,77.2,14449.513671875
159,77.3,8.46210098266602
