#"+ Scan (rt: 4.980-38.001 min, 5725 scans) BEESWAXNAT181018_2.D "
#Point,X(Thompsons),Y(Counts)
0,45.1,1359.2119140625
1,45.3,5.69205236434937
2,45.5,0.449257642030716
3,45.7,2.3358952999115
4,45.9,31.4106559753418
5,46.0,41.4560699462891
6,46.1,79.2255020141602
7,46.3,9.7799129486084
8,46.4,3.57275104522705
9,46.6,1.29170310497284
10,46.8,9.7126636505127
11,47.0,181.987594604492
12,47.1,186.139389038086
13,47.3,4.40122270584106
14,47.5,2.57467246055603
15,47.7,4.70043659210205
16,47.9,21.4668998718262
17,48.0,15.56174659729
18,48.1,26.6330127716064
19,48.3,8.50375556945801
20,48.5,4.08017444610596
21,48.7,3.80157208442688
22,48.9,30.16139793396
23,49.1,68.4326629638672
24,49.2,29.9841041564941
25,49.4,3.85816597938538
26,49.6,1.14759826660156
27,49.8,7.71528387069702
28,50.0,187.860961914063
29,50.1,318.518432617188
30,50.3,10.79563331604
31,50.4,1.95860266685486
32,50.6,0.286637544631958
33,50.8,4.08558940887451
34,51.0,219.170654296875
35,51.1,577.772583007813
36,51.3,10.8979911804199
37,51.6,0.859213948249817
38,51.8,6.43825340270996
39,52.0,150.156509399414
40,52.1,348.414154052734
41,52.3,22.2340602874756
42,52.5,0.713537096977234
43,52.9,17.9458522796631
44,53.1,1613.19897460938
45,53.2,299.550231933594
46,53.4,0.415720522403717
47,53.8,0.408384293317795
48,54.0,115.357376098633
49,54.1,3983.91674804688
50,54.3,14.8148469924927
51,55.0,21.6950225830078
52,55.1,24196.9765625
53,55.3,0.689781665802002
54,55.8,0.120524019002914
55,56.0,63.1241912841797
56,56.1,10607.1240234375
57,56.3,7.13414859771729
58,57.0,36.7559814453125
59,57.2,33929.57421875
60,57.3,8.94847202301025
61,57.5,0.163318783044815
62,57.7,0.652401745319366
63,57.9,26.9346733093262
64,58.1,1005.56646728516
65,58.2,928.209594726563
66,58.4,3.07248902320862
67,58.7,1.81991267204285
68,58.9,26.5839309692383
69,59.1,1166.66467285156
70,59.2,163.557373046875
71,59.4,1.11912667751312
72,59.5,1.49816596508026
73,59.8,7.34724903106689
74,60.0,184.772750854492
75,60.1,255.664627075195
76,60.2,99.7428817749023
77,60.4,2.71965074539185
78,60.7,3.10235810279846
79,60.9,38.1627960205078
80,61.1,372.482269287109
81,61.2,67.6464614868164
82,61.4,2.55947589874268
83,61.6,0.846637547016144
84,61.8,13.6578168869019
85,62.0,67.4316177368164
86,62.1,70.0901336669922
87,62.3,13.7895193099976
88,62.5,2.55493450164795
89,62.8,15.3486461639404
90,63.0,156.800170898438
91,63.1,187.218170166016
92,63.3,13.792140007019
93,63.6,3.43842792510986
94,63.8,19.8651523590088
95,64.0,67.7874221801758
96,64.1,66.631965637207
97,64.3,14.6627073287964
98,64.5,2.08157205581665
99,64.8,6.14008712768555
100,65.0,222.726287841797
101,65.1,546.590759277344
102,65.3,18.8700428009033
103,65.5,2.0742359161377
104,65.7,2.34917020797729
105,65.9,45.2015724182129
106,66.1,517.423400878906
107,66.2,178.886810302734
108,66.4,2.55091714859009
109,67.0,132.210311889648
110,67.1,6573.12841796875
111,67.3,1.39109170436859
112,67.8,0.0609606988728046
113,68.0,121.271965026855
114,68.1,5034.470703125
115,68.3,12.9067249298096
116,68.4,0.43668121099472
117,69.0,64.6422729492188
118,69.1,15869.6298828125
119,69.3,4.5619215965271
120,69.5,0.0471615716814995
121,69.8,0.361746728420258
122,70.0,96.0286483764648
123,70.1,8554.27734375
124,70.3,15.423056602478
125,70.5,0.181834056973457
126,70.7,0.22829695045948
127,70.9,8.72157192230225
128,71.1,5235.85693359375
129,71.2,14286.6748046875
130,71.3,18.4213104248047
